PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan
40.4,39.52,115.58,17,1,0.35,1
46.52,45.86,204.92,18,1,0.35,1
101.89,99.32,37041.98,51,194,0.37,0
99.32,95.64,823.27,35,1,0.35,1
99.02,92.26,29694.55,30,191,0.35,0
238.89,173.57,37314.98,160,1,0.37,0
102.22,98.94,37920.31,51,195,0.38,0
101.59,97.38,34540.84,37,191,0.37,0
101.63,98.86,37205.62,48,194,0.37,0
101.74,98.01,35803.39,40,191,0.38,0
79.44,77.33,311.62,28,1,0.36,1
53.65,53.26,338.24,20,1,0.34,1
103.1,99.28,718.68,38,1,0.35,1
79.92,60,5124.4,27,190,0.38,0
155.46,138.27,29694.55,96,1,0.36,0
95.64,85.78,22329.3,29,190,0.35,0
70.26,55.91,1987.74,26,190,0.36,0
71.76,70.12,604.25,26,1,0.35,1
101.7,98.24,36392.25,40,192,0.36,0
101.78,97.7,35537.86,39,191,0.35,0
114.12,113.9,37424.55,66,192,0.4,0
155.35,129.83,1602.36,147,1,0.36,1
93.07,89.71,803.13,33,1,0.34,1
52.15,44.44,207.78,23,189,0.35,0
101.74,97.7,34697.01,38,191,0.35,0
102.07,99.02,37424.55,52,195,0.38,0
98.86,92.34,30024.57,30,191,0.36,0
243.51,182.49,36662.03,146,1,0.36,0
39.57,38.47,132.19,17,1,0.35,1
54.22,53.81,319.63,21,1,0.34,1
39.84,38.98,122.71,17,1,0.35,1
101.96,99.63,38086.54,54,196,0.39,0
59.65,58.97,449.09,22,1,0.35,1
61.82,60.99,464.98,23,1,0.35,1
80.37,77.96,640.81,28,1,0.36,1
31.14,27.12,62.62,19,173,0.37,0
32.51,29.03,49.78,19,177,0.36,0
44.2,43.42,162.22,18,1,0.34,1
101.52,96.24,34023.71,34,191,0.37,0
81.59,66.83,281.12,101,87,0.36,1
100.46,94.85,31369.21,32,191,0.37,0
101.89,98.16,34488.9,37,191,0.38,0
89.71,86.49,767.77,31,1,0.34,1
102.18,98.63,37205.62,46,192,0.38,0
43.46,42.77,183.18,18,1,0.34,1
37.73,31.29,61.23,21,190,0.35,0
110.63,106.51,938.31,44,1,0.33,1
101.74,98.78,36553.96,44,191,0.39,0
29.53,28.69,66.5,26,191,0.35,1
41.82,41,159.9,17,1,0.34,1
102.07,99.63,37205.62,53,195,0.37,0
75.93,63.49,200.69,97,87,0.36,1
37.78,36.45,162.22,17,1,0.35,1
39.03,38.02,319.63,17,1,0.34,1
102.07,100.09,36716.15,54,195,0.4,0
50.84,50.42,281.12,19,1,0.33,1
101.89,99.48,37096.48,50,194,0.39,0
101.07,96.2,34023.71,33,191,0.38,0
81.87,79.28,700.41,29,1,0.36,1
85.78,69.29,288.52,104,87,0.36,1
151.98,131.73,1488.44,103,1,0.37,1
267.13,186.84,36770.32,160,1,0.37,0
70.76,69.02,538.71,26,1,0.34,1
219.2,169.53,36662.03,133,1,0.35,0
83.35,80.73,704.04,29,1,0.36,1
79.24,65.26,942.78,100,86,0.35,1
51.07,50.7,282.96,20,1,0.34,1
101.81,98.16,35537.86,39,191,0.37,0
38.64,37.78,120.89,17,1,0.34,1
73.15,71.33,704.04,26,1,0.35,1
42.86,42.14,184.48,17,1,0.34,1
102,98.78,36338.45,44,192,0.37,0
101.67,96.87,34853.64,36,191,0.36,0
53.52,53.1,329.87,20,1,0.35,1
51.33,50.89,290.39,20,1,0.34,1
87.15,67.12,11726.96,28,190,0.36,0
56.4,52.86,162.22,73,87,0.35,1
52.47,52.13,331.95,20,1,0.35,1
45.71,45.13,130.24,18,1,0.34,1
71.4,69.7,581.79,26,1,0.35,1
44.44,43.46,169.38,18,1,0.34,1
98.4,94.77,835.53,35,1,0.35,1
54.96,54.57,368.8,21,1,0.34,1
83.8,81.18,664.89,29,1,0.36,1
101.44,96.87,35750.18,35,191,0.36,0
99.32,92.58,28949.37,31,191,0.37,0
124.88,109.91,726.08,133,87,0.36,1
52.38,49.61,143.35,64,87,0.35,1
55.7,55.26,315.61,21,1,0.35,1
38.7,37.67,120.89,17,1,0.34,1
102.04,99.02,20117.76,53,196,0.39,0
55.98,55.52,563.03,21,1,0.35,1
70.83,69.22,597.77,26,1,0.34,1
48.78,48.32,246.34,19,1,0.34,1
43.63,42.05,90.75,48,102,0.35,1
64.42,63.37,526.85,24,1,0.35,1
100.24,96.36,441.3,36,1,0.35,1
56.78,56.35,387.18,22,1,0.35,1
68.01,54.87,1763.47,26,190,0.36,0
135.21,118.18,1064.3,140,87,0.34,1
51.28,50.87,307.68,20,1,0.34,1
145.81,131.63,37534.35,107,189,0.38,0
102.04,100.05,37424.55,55,195,0.4,0
46.92,46.35,207.78,18,1,0.35,1
99.86,94.2,31662.49,31,191,0.36,0
88.43,85.29,756.23,31,1,0.34,1
101.74,97.62,35697.02,38,191,0.36,0
101.52,96.87,34437,35,190,0.36,0
117.89,113.23,1069.19,53,1,0.37,1
116.11,111.73,803.13,50,1,0.37,1
212.13,162.08,38308.93,156,1,0.37,0
81.14,78.64,661.41,28,1,0.36,1
57.43,56.84,403.83,22,1,0.34,1
41.72,40.4,145.47,17,1,0.34,1
101.63,98.24,35484.91,40,192,0.36,0
41.1,40.2,143.35,17,1,0.36,1
67.42,66.07,544.72,25,1,0.34,1
52.36,51.99,307.68,20,1,0.35,1
154.38,128.79,1494.62,150,87,0.36,1
64.3,63.17,500.85,24,1,0.35,1
102.18,99.25,38197.62,54,195,0.38,0
81.83,61.71,6399.46,27,190,0.37,0
42.59,41.68,157.6,17,1,0.35,1
129.54,121.63,1207.1,71,1,0.37,1
101.7,99.25,37424.55,52,196,0.39,0
38.7,37.78,115.58,17,1,0.34,1
45.96,45.35,199.29,18,1,0.34,1
42.19,41.39,153.09,17,1,0.35,1
